datetime,neighborhood_id,noise_db,green_space_pct,walkability_score,avg_rent_usd
2024-03-01 00:00,cedar_hills,49.5,37.7,73.3,1888.0
2024-03-01 01:00,cedar_hills,47.3,37.4,75.2,1869.0
2024-03-01 02:00,cedar_hills,46.6,39.4,71.1,1838.0
2024-03-01 03:00,cedar_hills,48.7,33.2,68.6,1836.0
2024-03-01 04:00,cedar_hills,45.0,38.8,70.2,1815.0
2024-03-01 05:00,cedar_hills,52.4,37.4,72.1,1814.0
2024-03-01 06:00,cedar_hills,50.4,38.3,69.7,1859.0
2024-03-01 07:00,cedar_hills,52.3,37.3,70.8,1896.0
2024-03-01 08:00,cedar_hills,56.0,35.4,73.6,1819.0
2024-03-01 09:00,cedar_hills,58.3,33.1,69.3,1855.0
2024-03-01 10:00,cedar_hills,61.1,38.4,71.8,1842.0
2024-03-01 11:00,cedar_hills,55.3,36.2,71.1,1876.0
2024-03-01 12:00,cedar_hills,61.0,33.6,72.6,1840.0
2024-03-01 13:00,cedar_hills,57.7,39.5,74.1,1873.0
2024-03-01 14:00,cedar_hills,56.4,37.2,72.7,1874.0
2024-03-01 15:00,cedar_hills,56.2,37.5,69.8,1820.0
2024-03-01 16:00,cedar_hills,58.4,41.4,71.9,1875.0
2024-03-01 17:00,cedar_hills,55.2,36.4,72.7,1888.0
2024-03-01 18:00,cedar_hills,51.9,41.9,66.8,1871.0
2024-03-01 19:00,cedar_hills,48.3,37.3,72.2,1800.0
2024-03-01 20:00,cedar_hills,47.3,38.9,75.0,1837.0
2024-03-01 21:00,cedar_hills,45.6,36.7,73.8,1858.0
2024-03-01 22:00,cedar_hills,46.4,39.3,72.2,1874.0
2024-03-01 23:00,cedar_hills,45.9,37.2,71.2,1813.0
2024-03-02 00:00,cedar_hills,48.9,38.7,75.0,1844.0
2024-03-02 01:00,cedar_hills,43.8,36.9,74.3,1830.0
2024-03-02 02:00,cedar_hills,47.5,39.0,78.8,1854.0
2024-03-02 03:00,cedar_hills,48.8,37.8,71.2,1849.0
2024-03-02 04:00,cedar_hills,48.2,44.2,74.6,1858.0
2024-03-02 05:00,cedar_hills,47.9,35.1,77.3,1869.0
2024-03-02 06:00,cedar_hills,54.4,35.7,77.8,1815.0
2024-03-02 07:00,cedar_hills,55.8,43.5,73.0,1836.0
2024-03-02 08:00,cedar_hills,56.3,36.7,71.9,1852.0
2024-03-02 09:00,cedar_hills,54.5,39.2,73.2,1889.0
2024-03-02 10:00,cedar_hills,56.6,37.2,76.6,1819.0
2024-03-02 11:00,cedar_hills,60.4,41.3,71.8,1855.0
2024-03-02 12:00,cedar_hills,60.8,40.0,72.5,1817.0
2024-03-02 13:00,cedar_hills,61.3,38.7,75.5,1859.0
2024-03-02 14:00,cedar_hills,56.9,38.6,75.6,1832.0
2024-03-02 15:00,cedar_hills,63.3,39.2,72.6,1866.0
2024-03-02 16:00,cedar_hills,53.1,40.0,77.3,1829.0
2024-03-02 17:00,cedar_hills,57.0,39.0,76.6,1897.0
2024-03-02 18:00,cedar_hills,51.3,36.1,73.2,1830.0
2024-03-02 19:00,cedar_hills,47.8,38.9,75.6,1871.0
2024-03-02 20:00,cedar_hills,48.0,41.6,74.5,1918.0
2024-03-02 21:00,cedar_hills,49.9,35.9,72.9,1862.0
2024-03-02 22:00,cedar_hills,47.3,39.8,75.9,1848.0
2024-03-02 23:00,cedar_hills,45.5,34.2,74.1,1871.0
2024-03-03 00:00,cedar_hills,48.6,34.9,75.3,1860.0
2024-03-03 01:00,cedar_hills,45.3,38.4,75.1,1821.0
2024-03-03 02:00,cedar_hills,49.1,39.4,77.2,1876.0
2024-03-03 03:00,cedar_hills,43.9,35.7,76.0,1863.0
2024-03-03 04:00,cedar_hills,49.5,47.6,76.1,1878.0
2024-03-03 05:00,cedar_hills,50.9,39.6,74.4,1869.0
2024-03-03 06:00,cedar_hills,49.7,37.4,74.0,1852.0
2024-03-03 07:00,cedar_hills,61.0,33.3,76.4,1810.0
2024-03-03 08:00,cedar_hills,54.6,40.7,75.1,1823.0
2024-03-03 09:00,cedar_hills,55.5,39.7,73.5,1855.0
2024-03-03 10:00,cedar_hills,59.1,36.4,79.3,1866.0
2024-03-03 11:00,cedar_hills,53.7,38.5,73.7,1871.0
2024-03-03 12:00,cedar_hills,57.6,37.7,76.0,1872.0
2024-03-03 13:00,cedar_hills,56.1,37.2,74.1,1834.0
2024-03-03 14:00,cedar_hills,64.2,39.0,72.5,1873.0
2024-03-03 15:00,cedar_hills,64.0,40.6,72.0,1838.0
2024-03-03 16:00,cedar_hills,59.8,36.2,75.9,1869.0
2024-03-03 17:00,cedar_hills,51.3,37.9,68.5,1824.0
2024-03-03 18:00,cedar_hills,51.2,34.9,78.3,1814.0
2024-03-03 19:00,cedar_hills,46.7,38.3,77.9,1814.0
2024-03-03 20:00,cedar_hills,51.5,38.0,73.0,1862.0
2024-03-03 21:00,cedar_hills,48.6,36.5,75.1,1840.0
2024-03-03 22:00,cedar_hills,48.3,39.7,78.2,1819.0
2024-03-03 23:00,cedar_hills,54.4,33.1,74.7,1865.0
2024-03-04 00:00,cedar_hills,48.8,36.4,71.6,1838.0
2024-03-04 01:00,cedar_hills,46.2,40.1,72.7,1833.0
2024-03-04 02:00,cedar_hills,50.7,38.8,73.6,1866.0
2024-03-04 03:00,cedar_hills,45.5,36.6,73.5,1865.0
2024-03-04 04:00,cedar_hills,47.9,38.3,74.6,1835.0
2024-03-04 05:00,cedar_hills,49.6,37.5,71.6,1877.0
2024-03-04 06:00,cedar_hills,54.5,40.0,74.6,1851.0
2024-03-04 07:00,cedar_hills,56.1,37.2,72.6,1847.0
2024-03-04 08:00,cedar_hills,56.3,39.5,70.4,1902.0
2024-03-04 09:00,cedar_hills,54.6,35.0,74.3,1870.0
2024-03-04 10:00,cedar_hills,60.8,39.6,72.0,1828.0
2024-03-04 11:00,cedar_hills,60.0,36.3,74.0,1846.0
2024-03-04 12:00,cedar_hills,57.5,37.2,72.8,1836.0
2024-03-04 13:00,cedar_hills,57.3,38.6,72.5,1837.0
2024-03-04 14:00,cedar_hills,57.5,38.6,69.1,1815.0
2024-03-04 15:00,cedar_hills,55.5,37.5,72.6,1887.0
2024-03-04 16:00,cedar_hills,58.6,37.6,72.0,1825.0
2024-03-04 17:00,cedar_hills,54.0,37.3,72.6,1829.0
2024-03-04 18:00,cedar_hills,53.6,41.8,71.8,1860.0
2024-03-04 19:00,cedar_hills,50.1,37.0,72.4,1850.0
2024-03-04 20:00,cedar_hills,48.3,36.1,72.0,1862.0
2024-03-04 21:00,cedar_hills,52.4,40.4,76.3,1831.0
2024-03-04 22:00,cedar_hills,50.6,38.5,76.4,1830.0
2024-03-04 23:00,cedar_hills,45.5,36.5,67.8,1837.0
2024-03-05 00:00,cedar_hills,45.7,38.4,72.7,1897.0
2024-03-05 01:00,cedar_hills,50.9,36.6,70.2,1862.0
2024-03-05 02:00,cedar_hills,44.0,42.6,74.4,1838.0
2024-03-05 03:00,cedar_hills,42.9,41.4,71.8,1881.0
2024-03-05 04:00,cedar_hills,43.2,36.5,72.0,1851.0
2024-03-05 05:00,cedar_hills,46.6,39.6,69.9,1846.0
2024-03-05 06:00,cedar_hills,52.4,39.3,73.4,1822.0
2024-03-05 07:00,cedar_hills,49.5,41.2,72.7,1831.0
2024-03-05 08:00,cedar_hills,60.7,38.3,74.4,1852.0
2024-03-05 09:00,cedar_hills,63.8,42.4,71.5,1874.0
2024-03-05 10:00,cedar_hills,60.9,41.4,70.1,1867.0
2024-03-05 11:00,cedar_hills,62.9,33.6,69.6,1799.0
2024-03-05 12:00,cedar_hills,59.2,39.8,75.0,1852.0
2024-03-05 13:00,cedar_hills,64.6,34.5,68.6,1849.0
2024-03-05 14:00,cedar_hills,60.1,37.9,67.9,1848.0
